interaction_id,panelist_id,interaction_date,channel,issue_type,issue_description,resolution,resolved,resolution_time_hours,agent_name,satisfaction_score,project_ref,workspace_id,project_id,panelist_email_hash,panelist_phone_hash
INT-20240415-027,13350,2024-04-15T11:30:00Z,Chat,General Question,Domanda sulla durata prevista del community online a cui partecipa,La community dura 3 mesi. Mancano ancora 6 settimane alla chiusura.,True,0.25,Marco Rossi,5.0,PRJ-038,WS-003,PRJ-038,6f6ab57cc255712e,5a74cc36fa90182a
INT-20240418-028,12567,2024-04-18T06:45:00Z,Email,Profile Update,Richiesta cancellazione account GDPR - right to be forgotten,Avviata procedura di cancellazione. Completamento entro 30 giorni come da normativa.,True,24.0,Giulia Verdi,,,WS-003,,ae888d8a3b480b03,
INT-20240420-029,13001,2024-04-20T13:20:00Z,Phone,Payment Inquiry,Non ha ricevuto il bonifico per il sondaggio completato il mese scorso,Verificato: bonifico in stato pending per IBAN errato. Corretto e riprocessato.,True,48.0,Laura Bianchi,3.0,PRJ-037,WS-001,PRJ-037,017836ff21894c77,0466d99e38486dbf
INT-20240422-030,13450,2024-04-22T10:00:00Z,Chat,Technical Support,"Problema con il questionario in tedesco, alcune domande mostrano caratteri corrotti","Bug di encoding UTF-8 nel questionario DE. Fix applicato, reinviato link.",True,3.0,Marco Rossi,4.0,PRJ-039,WS-002,PRJ-039,17e66e9b187d89f5,d3336e3317b78270
INT-20240425-031,12003,2024-04-25T15:00:00Z,Phone,General Question,Chiede se può partecipare al sondaggio sulla ristrutturazione casa essendo professionista del settore,Confermato: il sondaggio è aperto anche ai professionisti. Inviato link di partecipazione.,True,0.5,Giulia Verdi,5.0,PRJ-045,WS-001,PRJ-045,7211711eff4e4647,acf73ecf0e522822
INT-20240428-032,13550,2024-04-28T14:30:00Z,Email,Complaint,"Sondaggio sulle scommesse sportive non appropriato, il panelista è minorenne",Errore nel targeting: il profilo indicava età errata. Corretto profilo e rimosso dal progetto.,True,2.0,Laura Bianchi,2.0,PRJ-049,WS-003,PRJ-049,77a5c658941e32eb,7cd9740f831da267
INT-20240502-033,13650,2024-02-05T09:00:00Z,Email,Survey Invitation,Richiesta di essere inclusa nei sondaggi B2B come decision maker aziendale,"Aggiunto profilo B2B: CFO, settore manifatturiero, 200+ dipendenti.",True,1.0,Marco Rossi,5.0,,WS-001,,1761e80772031853,fa1d8d05313a79fb
INT-20240505-034,13205,2024-05-05T16:45:00Z,Chat,Payment Inquiry,Chiede conferma dell'incentivo promesso per il sondaggio AI chatbot completato,"Confermato: €15 voucher Amazon in elaborazione, arrivo entro 10 giorni lavorativi.",True,0.25,Giulia Verdi,5.0,PRJ-036,WS-002,PRJ-036,84b5eec38ae044d6,
INT-20240508-035,10923,2024-08-05T11:30:15Z,Phone,Technical Support,App mobile si chiude durante il caricamento del sondaggio smartwatch,Versione app non aggiornata. Suggerito aggiornamento a v4.2.1. Problema risolto.,True,1.0,Laura Bianchi,4.0,PRJ-050,WS-002,PRJ-050,8102364da1418e7c,8326724cd3e7c541
INT-20240510-036,13750,2024-05-10T00:00:00Z,Chat,General Question,Chiede come funziona il sondaggio sulla diversità e se le risposte sono davvero anonime,Spiegato processo di anonimizzazione e fornita informativa privacy completa.,True,0.5,Marco Rossi,4.0,PRJ-048,WS-001,PRJ-048,d0452f143ed789b5,18d0a964e3bfaf6a
INT-20240512-037,12789,2024-12-05T14:00:00Z,Phone,Complaint,Ricevuto invito a sondaggio su criptovalute nonostante avesse indicato di non essere interessato,Aggiornato profilo escludendo categoria Financial Services/Crypto. Scuse per l'inconveniente.,True,1.5,Giulia Verdi,3.0,PRJ-039,WS-002,PRJ-039,c210a21821f8f78e,5dd18256e8946ffa
